Instance,Permutation,Jobs,Stages,InitialFitness,BestFitness,WorstFitness,AvgFitness,StdDev,FinalFitness,Improvement(%),RPD(%),ExecutionTime_ms,TimePerGen_ms,PopSize,Generations,ConvergenceGen,ConvergencePercent(%),FitnessDiversity,BestChromosome,GAConfig
I30.txt,P30.txt,10,3,14.0000,14.0000,14.0000,14.0000,0.0000,14.0000,0.0000,0.0000,3005.0000,6.0100,70,500,0,0.0000,0.0000,[5 7 8 4 1 9 3 2 6 0],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I31.txt,P31.txt,20,3,268.0000,117.0000,117.0000,117.0000,3.8891,117.0000,56.3433,0.0000,3005.0000,6.0100,70,500,535,107.0000,0.0000,[14 6 2 18 19 9 5 11 15 1 10 13 3 0 12 17 16 8 4 7],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I32.txt,P32.txt,20,3,203.0000,83.0000,83.0000,83.0000,2.6050,83.0000,59.1133,0.0000,3003.0000,6.0060,70,500,15,3.0000,0.0000,[7 6 2 8 14 5 12 17 9 11 19 10 16 13 3 0 1 15 4 18],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I33.txt,P33.txt,20,3,174.0000,100.0000,110.0000,100.7143,6.2751,100.0000,42.5287,0.0000,3004.0000,6.0080,70,500,421,84.2000,0.0993,[15 19 10 13 2 9 5 3 11 6 12 4 0 1 8 14 16 7 18 17],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I34.txt,P34.txt,20,3,321.0000,142.0000,142.0000,142.0000,2.9767,142.0000,55.7632,0.0000,3004.0000,6.0080,70,500,17,3.4000,0.0000,[5 11 19 14 3 8 16 2 12 1 9 15 4 10 6 13 18 7 17 0],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I35.txt,P35.txt,20,3,380.0000,150.0000,150.0000,150.0000,3.9353,150.0000,60.5263,0.0000,3005.0000,6.0100,70,500,91,18.2000,0.0000,[12 15 10 1 5 14 7 8 19 9 3 6 11 17 16 2 0 18 13 4],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I36.txt,P36.txt,20,3,174.0000,108.0000,108.0000,108.0000,0.8102,108.0000,37.9310,0.0000,3006.0000,6.0120,70,500,6,1.2000,0.0000,[11 10 2 5 17 15 9 19 13 6 18 7 4 1 0 8 3 16 14 12],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I37.txt,P37.txt,20,3,155.0000,56.0000,56.0000,56.0000,1.4091,56.0000,63.8710,0.0000,3005.0000,6.0100,70,500,368,73.6000,0.0000,[8 7 3 13 16 19 1 15 12 11 18 17 4 0 2 5 9 14 10 6],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I38.txt,P38.txt,20,3,378.0000,116.0000,116.0000,116.0000,1.4786,116.0000,69.3122,0.0000,3009.0000,6.0180,70,500,516,103.2000,0.0000,[11 1 6 7 4 10 15 8 17 12 19 16 3 9 13 5 14 0 2 18],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I39.txt,P39.txt,20,3,267.0000,152.0000,152.0000,152.0000,3.0782,152.0000,43.0712,0.0000,3009.0000,6.0180,70,500,13,2.6000,0.0000,[0 5 4 10 9 11 12 7 14 8 18 15 6 17 2 19 3 16 13 1],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I40.txt,P40.txt,20,3,282.0000,51.0000,51.0000,51.0000,1.2484,51.0000,81.9149,0.0000,3004.0000,6.0080,70,500,13,2.6000,0.0000,[11 14 19 18 6 1 10 4 15 9 5 8 16 0 12 17 13 7 3 2],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I41.txt,P41.txt,20,3,257.0000,146.0000,146.0000,146.0000,1.8667,146.0000,43.1907,0.0000,3008.0000,6.0160,70,500,49,9.8000,0.0000,[16 13 3 1 18 2 0 10 19 6 5 8 17 7 4 12 15 14 11 9],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I42.txt,P42.txt,20,3,243.0000,75.0000,75.0000,75.0000,0.9320,75.0000,69.1358,0.0000,3009.0000,6.0180,70,500,110,22.0000,0.0000,[12 14 4 10 3 11 13 16 17 2 8 9 15 19 1 0 6 18 7 5],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I43.txt,P43.txt,20,3,445.0000,132.0000,132.0000,132.0000,5.1441,132.0000,70.3371,0.0000,3004.0000,6.0080,70,500,151,30.2000,0.0000,[14 7 17 0 19 18 13 15 1 11 12 4 9 6 3 16 8 10 5 2],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I44.txt,P44.txt,20,3,389.0000,126.0000,126.0000,126.0000,4.4133,126.0000,67.6093,0.0000,3007.0000,6.0140,70,500,31,6.2000,0.0000,[18 2 13 11 7 14 9 19 6 12 4 1 3 0 15 8 16 10 17 5],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I45.txt,P45.txt,20,3,246.0000,63.0000,66.0000,63.0429,0.5700,63.0000,74.3902,0.0000,3004.0000,6.0080,70,500,7,1.4000,0.0476,[4 5 1 3 14 8 6 10 15 17 11 16 18 0 13 7 2 9 19 12],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I46.txt,P46.txt,20,3,116.0000,44.0000,44.0000,44.0000,2.1858,44.0000,62.0690,0.0000,3007.0000,6.0140,70,500,73,14.6000,0.0000,[16 18 7 0 17 10 9 8 4 2 1 15 19 13 5 12 6 3 11 14],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I47.txt,P47.txt,20,3,138.0000,71.0000,71.0000,71.0000,2.1393,71.0000,48.5507,0.0000,3004.0000,6.0080,70,500,291,58.2000,0.0000,[9 15 4 10 2 3 14 8 1 16 5 7 0 11 6 12 18 19 13 17],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I48.txt,P48.txt,20,3,305.0000,100.0000,100.0000,100.0000,4.2436,100.0000,67.2131,0.0000,3009.0000,6.0180,70,500,32,6.4000,0.0000,[16 2 17 6 12 13 0 11 10 3 8 9 7 5 18 4 14 1 15 19],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I49.txt,P49.txt,20,3,303.0000,227.0000,227.0000,227.0000,11.4856,227.0000,25.0825,0.0000,3006.0000,6.0120,70,500,239,47.8000,0.0000,[9 12 0 7 1 6 11 8 16 14 13 5 17 15 3 10 19 18 4 2],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I50.txt,P50.txt,20,3,448.0000,103.0000,103.0000,103.0000,3.7487,103.0000,77.0089,0.0000,3003.0000,6.0060,70,500,25,5.0000,0.0000,[12 5 18 15 2 14 9 4 17 8 0 16 3 7 6 19 10 13 11 1],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I51.txt,P51.txt,20,3,293.0000,63.0000,63.0000,63.0000,2.7731,63.0000,78.4983,0.0000,3007.0000,6.0140,70,500,50,10.0000,0.0000,[1 18 8 15 16 2 14 11 17 4 12 19 3 13 10 5 6 9 7 0],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I52.txt,P52.txt,20,3,131.0000,57.0000,57.0000,57.0000,1.2838,57.0000,56.4885,0.0000,3023.0000,6.0460,70,500,30,6.0000,0.0000,[2 17 19 0 14 3 8 4 13 7 18 9 12 10 16 15 5 11 1 6],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I53.txt,P53.txt,20,3,322.0000,148.0000,148.0000,148.0000,3.6075,148.0000,54.0373,0.0000,3005.0000,6.0100,70,500,33,6.6000,0.0000,[11 18 5 17 8 14 19 6 7 12 4 3 1 10 2 13 16 15 9 0],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I54.txt,P54.txt,20,3,260.0000,150.0000,150.0000,150.0000,3.5973,150.0000,42.3077,0.0000,3005.0000,6.0100,70,500,15,3.0000,0.0000,[18 8 9 13 19 4 12 11 1 3 6 5 15 2 10 0 7 17 14 16],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I55.txt,P55.txt,20,3,112.0000,31.0000,31.0000,31.0000,0.3868,31.0000,72.3214,0.0000,3003.0000,6.0060,70,500,7,1.4000,0.0000,[13 15 9 14 10 5 7 2 11 8 1 16 19 17 6 0 12 4 18 3],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I56.txt,P56.txt,20,3,153.0000,68.0000,75.0000,68.6571,1.7021,68.0000,55.5556,0.0000,3004.0000,6.0080,70,500,176,35.2000,0.1020,[12 4 15 1 16 5 19 7 2 3 0 17 8 9 11 14 13 6 10 18],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I57.txt,P57.txt,20,3,158.0000,94.0000,94.0000,94.0000,2.5724,94.0000,40.5063,0.0000,3004.0000,6.0080,70,500,19,3.8000,0.0000,[4 0 17 18 1 7 15 12 11 9 16 8 14 10 3 2 19 6 5 13],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I58.txt,P58.txt,20,3,315.0000,108.0000,108.0000,108.0000,1.4136,108.0000,65.7143,0.0000,3012.0000,6.0240,70,500,21,4.2000,0.0000,[13 9 6 12 18 2 16 14 7 17 3 10 4 0 11 15 1 5 19 8],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I59.txt,P59.txt,20,3,181.0000,98.0000,98.0000,98.0000,2.4976,98.0000,45.8564,0.0000,3007.0000,6.0140,70,500,77,15.4000,0.0000,[12 6 15 7 3 2 0 1 14 19 17 4 10 18 16 11 9 5 8 13],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I60.txt,P60.txt,20,3,499.0000,246.0000,246.0000,246.0000,6.6147,246.0000,50.7014,0.0000,3006.0000,6.0120,70,500,78,15.6000,0.0000,[14 18 2 7 13 8 4 17 15 0 6 16 1 11 10 19 9 3 5 12],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I61.txt,P61.txt,30,4,2980.0000,2037.0000,2037.0000,2037.0000,86.5277,2037.0000,31.6443,0.0000,3008.0000,6.0160,70,500,294,58.8000,0.0000,[26 29 5 23 1 8 28 15 27 4 7 24 2 0 25 14 9 11 19 10 22 16 17 3 20 12 6 13 18 21],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I62.txt,P62.txt,30,4,2813.0000,1661.0000,1661.0000,1661.0000,71.8462,1661.0000,40.9527,0.0000,3010.0000,6.0200,70,500,288,57.6000,0.0000,[0 3 4 17 18 13 5 27 6 22 2 24 7 11 25 28 16 29 19 8 15 21 1 26 9 20 10 12 23 14],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I63.txt,P63.txt,30,4,4865.0000,2779.0000,2779.0000,2779.0000,143.4335,2779.0000,42.8777,0.0000,3012.0000,6.0240,70,500,76,15.2000,0.0000,[1 27 2 24 23 11 8 7 14 16 28 6 5 12 26 17 4 13 25 15 0 29 22 10 20 9 18 3 21 19],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I64.txt,P64.txt,30,4,3491.0000,2199.0000,2199.0000,2199.0000,84.7174,2199.0000,37.0095,0.0000,3006.0000,6.0120,70,500,113,22.6000,0.0000,[16 12 3 17 24 2 9 0 29 14 25 15 7 8 23 26 28 18 4 6 10 13 20 27 11 22 21 5 1 19],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I65.txt,P65.txt,30,4,3495.0000,2037.0000,2037.0000,2037.0000,75.9851,2037.0000,41.7167,0.0000,3004.0000,6.0080,70,500,269,53.8000,0.0000,[15 26 17 6 13 23 14 20 24 11 12 4 3 10 8 9 29 25 28 0 19 22 5 2 18 21 16 1 7 27],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I66.txt,P66.txt,30,4,3082.0000,1970.0000,1970.0000,1970.0000,91.8157,1970.0000,36.0805,0.0000,3006.0000,6.0120,70,500,81,16.2000,0.0000,[14 16 6 0 17 23 3 18 9 7 12 11 27 20 4 21 24 5 28 2 15 25 1 22 8 10 13 26 19 29],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I67.txt,P67.txt,30,4,3437.0000,2299.0000,2299.0000,2299.0000,85.8680,2299.0000,33.1103,0.0000,3012.0000,6.0240,70,500,121,24.2000,0.0000,[8 2 17 3 20 9 12 21 27 16 6 14 18 24 15 13 28 0 25 11 7 5 19 4 10 29 1 22 23 26],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I68.txt,P68.txt,30,4,3703.0000,2269.0000,2275.0000,2274.9143,99.1651,2269.0000,38.7254,0.0000,3012.0000,6.0240,70,500,353,70.6000,0.0026,[27 4 8 6 10 24 28 12 15 17 22 29 7 20 25 26 1 21 13 18 2 14 23 0 16 5 11 19 3 9],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
